GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,periodtracker.core,Person,28,247,5,17,6,43,5,19,0,13
core,periodtracker.core,CalendarLogic,6,20,0,0,2,5,2,2,2,2
